"id","sentiment"
"0_10",0.482707
"0_2",0.482707
"10000_4",0.482707
"10000_7",0.482707
"10001_1",0.482707
"10001_9",0.482707
"10002_3",0.482707
"10002_8",0.482707
"10003_3",0.482707
"10003_8",0.482707
"10004_2",0.482707
"10004_9",0.482707
"10005_2",0.482707
"10005_8",0.482707
"10006_2",0.482707
"10006_7",0.482707
"10007_10",0.482707
"10007_4",0.482707
"10008_4",0.482707
"10008_8",0.482707
"10009_10",0.482707
"10009_3",0.482707
"1000_3",0.482707
"1000_9",0.482707
"10010_2",0.482707
"10010_9",0.482707
"10011_1",0.482707
"10011_9",0.482707
"10012_1",0.482707
"10012_9",0.482707
"10013_4",0.482707
"10013_9",0.482707
"10014_2",0.482707
"10014_7",0.482707
"10015_4",0.482707
"10015_8",0.482707
"10016_3",0.482707
"10016_8",0.482707
"10017_1",0.482707
"10017_8",0.482707
"10018_1",0.482707
"10018_8",0.482707
"10019_1",0.482707
"10019_8",0.482707
"1001_10",0.482707
"1001_4",0.482707
"10020_1",0.482707
"10020_8",0.482707
"10021_3",0.482707
"10021_9",0.482707
"10022_10",0.482707
"10022_4",0.482707
"10023_4",0.482707
"10023_8",0.482707
"10024_3",0.482707
"10024_9",0.482707
"10025_2",0.482707
"10025_8",0.482707
"10026_10",0.482707
"10026_3",0.482707
"10027_1",0.482707
"10027_8",0.482707
"10028_10",0.482707
"10028_3",0.482707
"10029_1",0.482707
"10029_10",0.482707
"1002_3",0.482707
"1002_9",0.482707
"10030_3",0.482707
"10030_7",0.482707
"10031_2",0.482707
"10031_8",0.482707
"10032_1",0.482707
"10032_8",0.482707
"10033_1",0.482707
"10033_8",0.482707
"10034_1",0.482707
"10034_9",0.482707
"10035_1",0.482707
"10035_10",0.482707
"10036_1",0.482707
"10036_10",0.482707
"10037_1",0.482707
"10037_7",0.482707
"10038_4",0.482707
"10038_7",0.482707
"10039_1",0.482707
"10039_8",0.482707
"1003_4",0.482707
"1003_8",0.482707
"10040_10",0.482707
"10040_2",0.482707
"10041_1",0.482707
"10041_8",0.482707
"10042_1",0.482707
"10042_8",0.482707
"10043_1",0.482707
"10043_10",0.482707
"10044_2",0.482707
"10044_8",0.482707
"10045_1",0.482707
"10045_7",0.482707
"10046_10",0.482707
"10046_4",0.482707
"10047_1",0.482707
"10047_10",0.482707
"10048_1",0.482707
"10048_8",0.482707
"10049_1",0.482707
"10049_8",0.482707
"1004_10",0.482707
"1004_4",0.482707
"10050_4",0.482707
"10050_8",0.482707
"10051_2",0.482707
"10051_8",0.482707
"10052_4",0.482707
"10052_7",0.482707
"10053_10",0.482707
"10053_4",0.482707
"10054_3",0.482707
"10054_7",0.482707
"10055_1",0.482707
"10055_10",0.482707
"10056_1",0.482707
"10056_8",0.482707
"10057_1",0.482707
"10057_8",0.482707
"10058_2",0.482707
"10058_8",0.482707
"10059_1",0.482707
"10059_10",0.482707
"1005_2",0.482707
"1005_7",0.482707
"10060_10",0.482707
"10060_3",0.482707
"10061_10",0.482707
"10061_4",0.482707
"10062_4",0.482707
"10062_9",0.482707
"10063_1",0.482707
"10063_10",0.482707
"10064_10",0.482707
"10064_2",0.482707
"10065_1",0.482707
"10065_8",0.482707
"10066_1",0.482707
"10066_7",0.482707
"10067_4",0.482707
"10067_7",0.482707
"10068_3",0.482707
"10068_8",0.482707
"10069_10",0.482707
"10069_3",0.482707
"1006_3",0.482707
"1006_8",0.482707
"10070_10",0.482707
"10070_3",0.482707
"10071_2",0.482707
"10071_8",0.482707
"10072_1",0.482707
"10072_10",0.482707
"10073_3",0.482707
"10073_7",0.482707
"10074_3",0.482707
"10074_7",0.482707
"10075_10",0.482707
"10075_3",0.482707
"10076_10",0.482707
"10076_3",0.482707
"10077_3",0.482707
"10077_7",0.482707
"10078_10",0.482707
"10078_3",0.482707
"10079_1",0.482707
"10079_10",0.482707
"1007_4",0.482707
"1007_9",0.482707
"10080_1",0.482707
"10080_10",0.482707
"10081_1",0.482707
"10081_10",0.482707
"10082_1",0.482707
"10082_8",0.482707
"10083_10",0.482707
"10083_2",0.482707
"10084_10",0.482707
"10084_3",0.482707
"10085_10",0.482707
"10085_2",0.482707
"10086_1",0.482707
"10086_10",0.482707
"10087_1",0.482707
"10087_7",0.482707
"10088_1",0.482707
"10088_8",0.482707
"10089_1",0.482707
"10089_9",0.482707
"1008_10",0.482707
"1008_2",0.482707
"10090_10",0.482707
"10090_3",0.482707
"10091_1",0.482707
"10091_10",0.482707
"10092_4",0.482707
"10092_8",0.482707
"10093_1",0.482707
"10093_10",0.482707
"10094_4",0.482707
"10094_9",0.482707
"10095_3",0.482707
"10095_9",0.482707
"10096_1",0.482707
"10096_9",0.482707
"10097_10",0.482707
"10097_2",0.482707
"10098_1",0.482707
"10098_9",0.482707
"10099_4",0.482707
"10099_9",0.482707
"1009_3",0.482707
"1009_8",0.482707
"100_10",0.482707
"100_4",0.482707
"10100_10",0.482707
"10100_3",0.482707
"10101_4",0.482707
"10101_9",0.482707
"10102_2",0.482707
"10102_8",0.482707
"10103_1",0.482707
"10103_9",0.482707
"10104_1",0.482707
"10104_10",0.482707
"10105_3",0.482707
"10105_8",0.482707
"10106_1",0.482707
"10106_10",0.482707
"10107_2",0.482707
"10107_9",0.482707
"10108_1",0.482707
"10108_8",0.482707
"10109_1",0.482707
"10109_10",0.482707
"1010_1",0.482707
"1010_9",0.482707
"10110_1",0.482707
"10110_10",0.482707
"10111_1",0.482707
"10111_10",0.482707
"10112_1",0.482707
"10112_10",0.482707
"10113_1",0.482707
"10113_9",0.482707
"10114_2",0.482707
"10114_8",0.482707
"10115_1",0.482707
"10115_8",0.482707
"10116_1",0.482707
"10116_10",0.482707
"10117_1",0.482707
"10117_9",0.482707
"10118_1",0.482707
"10118_8",0.482707
"10119_1",0.482707
"10119_10",0.482707
"1011_4",0.482707
"1011_8",0.482707
"10120_1",0.482707
"10120_10",0.482707
"10121_1",0.482707
"10121_10",0.482707
"10122_10",0.482707
"10122_2",0.482707
"10123_10",0.482707
"10123_4",0.482707
"10124_3",0.482707
"10124_8",0.482707
"10125_4",0.482707
"10125_8",0.482707
"10126_4",0.482707
"10126_9",0.482707
"10127_10",0.482707
"10127_2",0.482707
"10128_1",0.482707
"10128_10",0.482707
"10129_10",0.482707
"10129_2",0.482707
"1012_1",0.482707
"1012_8",0.482707
"10130_2",0.482707
"10130_8",0.482707
"10131_3",0.482707
"10131_7",0.482707
"10132_10",0.482707
"10132_3",0.482707
"10133_4",0.482707
"10133_8",0.482707
"10134_4",0.482707
"10134_7",0.482707
"10135_3",0.482707
"10135_8",0.482707
"10136_1",0.482707
"10136_10",0.482707
"10137_10",0.482707
"10137_2",0.482707
"10138_10",0.482707
"10138_2",0.482707
"10139_1",0.482707
"10139_10",0.482707
"1013_1",0.482707
"1013_7",0.482707
"10140_1",0.482707
"10140_10",0.482707
"10141_1",0.482707
"10141_8",0.482707
"10142_10",0.482707
"10142_3",0.482707
"10143_3",0.482707
"10143_9",0.482707
"10144_1",0.482707
"10144_8",0.482707
"10145_1",0.482707
"10145_8",0.482707
"10146_1",0.482707
"10146_10",0.482707
"10147_1",0.482707
"10147_7",0.482707
"10148_1",0.482707
"10148_10",0.482707
"10149_1",0.482707
"10149_9",0.482707
"1014_4",0.482707
"1014_8",0.482707
"10150_2",0.482707
"10150_8",0.482707
"10151_1",0.482707
"10151_8",0.482707
"10152_1",0.482707
"10152_9",0.482707
"10153_1",0.482707
"10153_10",0.482707
"10154_10",0.482707
"10154_2",0.482707
"10155_1",0.482707
"10155_7",0.482707
"10156_3",0.482707
"10156_8",0.482707
"10157_1",0.482707
"10157_8",0.482707
"10158_2",0.482707
"10158_9",0.482707
"10159_4",0.482707
"10159_7",0.482707
"1015_4",0.482707
"1015_8",0.482707
"10160_3",0.482707
"10160_7",0.482707
"10161_1",0.482707
"10161_7",0.482707
"10162_10",0.482707
"10162_4",0.482707
"10163_4",0.482707
"10163_7",0.482707
"10164_4",0.482707
"10164_9",0.482707
"10165_2",0.482707
"10165_9",0.482707
"10166_4",0.482707
"10166_8",0.482707
"10167_4",0.482707
"10167_9",0.482707
"10168_4",0.482707
"10168_9",0.482707
"10169_3",0.482707
"10169_8",0.482707
"1016_3",0.482707
"1016_7",0.482707
"10170_1",0.482707
"10170_8",0.482707
"10171_1",0.482707
"10171_8",0.482707
"10172_1",0.482707
"10172_9",0.482707
"10173_1",0.482707
"10173_8",0.482707
"10174_1",0.482707
"10174_9",0.482707
"10175_2",0.482707
"10175_7",0.482707
"10176_1",0.482707
"10176_9",0.482707
"10177_10",0.482707
"10177_3",0.482707
"10178_1",0.482707
"10178_10",0.482707
"10179_1",0.482707
"10179_10",0.482707
"1017_1",0.482707
"1017_7",0.482707
"10180_1",0.482707
"10180_8",0.482707
"10181_10",0.482707
"10181_2",0.482707
"10182_10",0.482707
"10182_3",0.482707
"10183_1",0.482707
"10183_9",0.482707
"10184_1",0.482707
"10184_9",0.482707
"10185_1",0.482707
"10185_10",0.482707
"10186_1",0.482707
"10186_10",0.482707
"10187_1",0.482707
"10187_10",0.482707
"10188_1",0.482707
"10188_10",0.482707
"10189_1",0.482707
"10189_10",0.482707
"1018_4",0.482707
"1018_7",0.482707
"10190_1",0.482707
"10190_10",0.482707
"10191_1",0.482707
"10191_10",0.482707
"10192_1",0.482707
"10192_10",0.482707
"10193_1",0.482707
"10193_7",0.482707
"10194_1",0.482707
"10194_7",0.482707
"10195_1",0.482707
"10195_10",0.482707
"10196_1",0.482707
"10196_8",0.482707
"10197_2",0.482707
"10197_8",0.482707
"10198_2",0.482707
"10198_8",0.482707
"10199_1",0.482707
"10199_10",0.482707
"1019_10",0.482707
"1019_3",0.482707
"101_3",0.482707
"101_9",0.482707
"10200_1",0.482707
"10200_7",0.482707
"10201_1",0.482707
"10201_7",0.482707
"10202_4",0.482707
"10202_9",0.482707
"10203_10",0.482707
"10203_2",0.482707
"10204_10",0.482707
"10204_2",0.482707
"10205_1",0.482707
"10205_10",0.482707
"10206_4",0.482707
"10206_8",0.482707
"10207_10",0.482707
"10207_3",0.482707
"10208_1",0.482707
"10208_10",0.482707
"10209_1",0.482707
"10209_7",0.482707
"1020_2",0.482707
"1020_7",0.482707
"10210_3",0.482707
"10210_7",0.482707
"10211_4",0.482707
"10211_8",0.482707
"10212_4",0.482707
"10212_7",0.482707
"10213_4",0.482707
"10213_7",0.482707
"10214_10",0.482707
"10214_2",0.482707
"10215_10",0.482707
"10215_4",0.482707
"10216_1",0.482707
"10216_10",0.482707
"10217_4",0.482707
"10217_7",0.482707
"10218_4",0.482707
"10218_7",0.482707
"10219_4",0.482707
"10219_9",0.482707
"1021_2",0.482707
"1021_7",0.482707
"10220_10",0.482707
"10220_3",0.482707
"10221_2",0.482707
"10221_8",0.482707
"10222_1",0.482707
"10222_8",0.482707
"10223_10",0.482707
"10223_2",0.482707
"10224_2",0.482707
"10224_9",0.482707
"10225_1",0.482707
"10225_10",0.482707
"10226_10",0.482707
"10226_3",0.482707
"10227_3",0.482707
"10227_7",0.482707
"10228_1",0.482707
"10228_10",0.482707
"10229_10",0.482707
"10229_2",0.482707
"1022_10",0.482707
"1022_3",0.482707
"10230_2",0.482707
"10230_7",0.482707
"10231_4",0.482707
"10231_9",0.482707
"10232_1",0.482707
"10232_10",0.482707
"10233_3",0.482707
"10233_7",0.482707
"10234_3",0.482707
"10234_9",0.482707
"10235_10",0.482707
"10235_3",0.482707
"10236_10",0.482707
"10236_4",0.482707
"10237_10",0.482707
"10237_3",0.482707
"10238_2",0.482707
"10238_7",0.482707
"10239_1",0.482707
"10239_9",0.482707
"1023_10",0.482707
"1023_3",0.482707
"10240_1",0.482707
"10240_10",0.482707
"10241_1",0.482707
"10241_10",0.482707
"10242_2",0.482707
"10242_8",0.482707
